Symbol, FIRST(Symbol)
ARRAY,{LBRACE}
ARRAYCONTAIN,"{ε,COLON,INTEGER,FLOAT,TRUE,FALSE,PLUS,MINUS,ID,LPAR}"
ASSIGNMENT,{ID}
ASSIGNMENTORCALL,"{EQUAL,LPAR}"
COMPOUND,"{ε,EXPORT,FUNCTION,ID,RETURN,IF,FOR,WHILE,OBJ,MODULE,IMPORT}"
EXPORTCHECK,"{ε,EXPORT}"
EXPR,"{INTEGER,FLOAT,TRUE,FALSE,PLUS,MINUS,ID,LPAR}"
EXPRCHECK,"{INTEGER,FLOAT,TRUE,FALSE,PLUS,MINUS,ID,LPAR,LBRACE,STRING}"
FACTOR,"{INTEGER,FLOAT,TRUE,FALSE,PLUS,MINUS,ID,LPAR}"
FORSTATEMENT,{FOR}
FUNCTIONBODY,"{ε,LBRACE}"
FUNCTIONCALL,{ID}
FUNCTIONDECL,"{EXPORT,FUNCTION}"
FUNCTIONTYPE,"{ε,TO}"
IDHEAD,{ID}
IFLINK,"{ELIF,ELSE,FI}"
IFSTATEMENT,{IF}
INNERTYPE,"{ID,REAL,VEC}"
MODULEDEF,{MODULE}
MODULEIMPORT,{IMPORT}
MODULENAME,{ID}
OBJECTDEF,{OBJ}
PARAM,"{ε, ID}"
PARAMLIST,"{ε,INTEGER,FLOAT,STRING,TRUE,FALSE,PLUS,MINUS,ID,LPAR, LBRACE}"
RETURNEXPR,{RETURN}
RETURNEXPRCHECK,"{ε,INTEGER,FLOAT,STRING,TRUE,FALSE,PLUS,MINUS,ID,LPAR,LBRACE}"
TYPE,"{ε,COLON}"
VARIABLE,{ID}
WHILESTATEMENT,{WHILE}
STATEMENT,"{ε,EXPORT,FUNCTION,ID,RETURN,IF,FOR,WHILE,OBJ,MODULE,IMPORT}"
TERM,"{INTEGER,FLOAT,TRUE,FALSE,PLUS,MINUS,ID,LPAR}"
