Symbol,FOLLOW(Symbol)
ARRAY,"{COMMA,RBRACE,RPAR,PUBLIC,FUNCTION,ID,RETURN,IF,FOR,WHILE,OBJ,MODULE,IMPORT,SEMI,RPAR,DONE,ELIF,ELSE,FI,$}"
ARRAYCONTAIN,{RBRACE}
ASSIGNMENT,"{PUBLIC,FUNCTION,ID,RETURN,IF,FOR,WHILE,OBJ,MODULE,IMPORT,SEMI,RPAR,RBRACE,DONE,ELIF,ELSE,FI,,$}"
ASSIGNMENTORCALL,"{PUBLIC,FUNCTION,ID,RETURN,IF,FOR,WHILE,OBJ,MODULE,IMPORT,SEMI,RPAR,RBRACE,DONE,ELIF,ELSE,FI,$}"
COMPOUND,"{SEMI,RPAR,RBRACE,DONE,ELIF,ELSE,FI,$}"
EXPORTCHECK,{FUNCTION}
EXPR,"{COMMA,RBRACE,RPAR,SEMI,RSQB,DO,PUBLIC,FUNCTION,ID,RETURN,IF,FOR,WHILE,OBJ,MODULE,IMPORT,DONE,ELIF,ELSE,FI,$}"
EXPRCHECK,"{COMMA,RBRACE,RPAR,PUBLIC,FUNCTION,ID,RETURN,IF,FOR,WHILE,OBJ,MODULE,IMPORT,SEMI,RPAR,RBRACE,DONE,ELIF,ELSE,FI,$}"
FACTOR,"{COMMA,RBRACE,RPAR,STAR,SLASH,SEMI,RSQB,DO,PLUS,MINUS,PUBLIC,FUNCTION,ID,RETURN,IF,FOR,WHILE,OBJ,MODULE,IMPORT,DONE,ELIF,ELSE,FI,$}"
FORSTATEMENT,"{PUBLIC,FUNCTION,ID,RETURN,IF,FOR,WHILE,OBJ,MODULE,IMPORT,SEMI,RPAR,RBRACE,DONE,ELIF,ELSE,FI,$}"
FUNCTIONBODY,"{PUBLIC,FUNCTION,ID,RETURN,IF,FOR,WHILE,OBJ,MODULE,IMPORT,SEMI,RPAR,RBRACE,DONE,ELIF,ELSE,FI,$}"
FUNCTIONCALL,"{STAR,SLASH,RPAR,SEMI,RSQB,DO,COMMA,PUBLIC,FUNCTION,ID,RETURN,IF,FOR,WHILE,OBJ,MODULE,IMPORT,RBRACE,PLUS,MINUS,DONE,ELIF,ELSE,FI,$}"
FUNCTIONDECL,"{PUBLIC,FUNCTION,ID,RETURN,IF,FOR,WHILE,OBJ,MODULE,IMPORT,SEMI,RPAR,RBRACE,DONE,ELIF,ELSE,FI,$}"
FUNCTIONTYPE,"{LBRACE,PUBLIC,FUNCTION,ID,RETURN,IF,FOR,WHILE,OBJ,MODULE,IMPORT,SEMI,RPAR,RBRACE,DONE,ELIF,ELSE,FI,$}"
IDHEAD,"{PUBLIC,FUNCTION,ID,RETURN,IF,FOR,WHILE,OBJ,MODULE,IMPORT,SEMI,RPAR,RBRACE,DONE,ELIF,ELSE,FI,$}"
IFLINK,"{PUBLIC,FUNCTION,ID,RETURN,IF,FOR,WHILE,OBJ,MODULE,IMPORT,SEMI,RPAR,RBRACE,DONE,ELIF,ELSE,FI,$}"
IFSTATEMENT,"{PUBLIC,FUNCTION,ID,RETURN,IF,FOR,WHILE,OBJ,MODULE,IMPORT,SEMI,RPAR,RBRACE,DONE,ELIF,ELSE,FI,$}"
INNERTYPE,"{EQUAL,COMMA,STAR,SLASH,RPAR,SEMI,RSQB,DO,RBRACE,LBRACE,PUBLIC,FUNCTION,ID,RETURN,IF,FOR,WHILE,OBJ,MODULE,IMPORT,DONE,ELIF,ELSE,FI,$}"
MODULEDEF,"{PUBLIC,FUNCTION,ID,RETURN,IF,FOR,WHILE,OBJ,MODULE,IMPORT,SEMI,RPAR,RBRACE,DONE,ELIF,ELSE,FI,$}"
MODULEIMPORT,"{PUBLIC,FUNCTION,ID,RETURN,IF,FOR,WHILE,OBJ,MODULE,IMPORT,SEMI,RPAR,RBRACE,DONE,ELIF,ELSE,FI,$}"
MODULENAME,"{LPAR,EQUAL}"
OBJECTDEF,"{PUBLIC,FUNCTION,ID,RETURN,IF,FOR,WHILE,OBJ,MODULE,IMPORT,SEMI,RPAR,RBRACE,DONE,ELIF,ELSE,FI,$}"
PARAM,{RPAR}
PARAMLIST,"{RBRACE,RPAR}"
RETURNEXPR,"{PUBLIC,FUNCTION,ID,RETURN,IF,FOR,WHILE,OBJ,MODULE,IMPORT,SEMI,RPAR,RBRACE,DONE,ELIF,ELSE,FI,$}"
RETURNEXPRCHECK,"{PUBLIC,FUNCTION,ID,RETURN,IF,FOR,WHILE,OBJ,MODULE,IMPORT,SEMI,RPAR,RBRACE,DONE,ELIF,ELSE,FI,$}"
STATEMENT,"{PUBLIC,FUNCTION,ID,RETURN,IF,FOR,WHILE,OBJ,MODULE,IMPORT,SEMI,RPAR,RBRACE,DONE,ELIF,ELSE,FI,$}"
TERM,"{COMMA,RBRACE,RPAR,PLUS,MINUS,PUBLIC,FUNCTION,ID,RETURN,IF,FOR,WHILE,OBJ,MODULE,IMPORT,SEMI,DONE,ELIF,ELSE,FI,$}"
TYPE,"{EQUAL,COMMA,STAR,SLASH,RPAR,SEMI,RSQB,DO,RBRACE,PLUS,MINUS,PUBLIC,FUNCTION,ID,RETURN,IF,FOR,WHILE,OBJ,MODULE,IMPORT,DONE,ELIF,ELSE,FI,$}"
VARIABLE,"{EQUAL,COMMA,STAR,SLASH,RPAR,SEMI,RSQB,DO,RBRACE,PLUS,MINUS,PUBLIC,FUNCTION,ID,RETURN,IF,FOR,WHILE,OBJ,MODULE,IMPORT,DONE,ELIF,ELSE,FI,$}"
WHILESTATEMENT,"{PUBLIC,FUNCTION,ID,RETURN,IF,FOR,WHILE,OBJ,MODULE,IMPORT,SEMI,RPAR,RBRACE,DONE,ELIF,ELSE,FI,$}"
